Year,Cars,Male,AgeGroup,City,TotalWeightedTrips,TotalWeightedKilometers,WeightedPersons,WeightedAverageTrips,WeightedAvgPartySizeCar,ShareTrips_Walk,ShareTrips_Bike,ShareTrips_Car,ShareTrips_PT,ShareKM_Walk,ShareKM_Bike,ShareKM_Car,ShareKM_PT
2009,0,1,18-30,0,29129.69727,499290.726,9390.821685,3.101932743,1.112189309,0.293331439,0.135717551,0.417040592,0.153910418,0.018414759,0.019198486,0.673466718,0.288920037
2009,0,1,18-30,1,399079.9094,4020674.698,119246.4264,3.346682342,1.276793998,0.322276914,0.343796668,0.154417988,0.17950843,0.030822867,0.114352662,0.450130737,0.404693734
2009,0,1,31-55,0,26455.83371,231276.2058,9059.037646,2.920380149,0.845751791,0.397596305,0.241431121,0.195209669,0.165762905,0.03611961,0.098603419,0.304778186,0.560498785
2009,0,1,31-55,1,247812.4812,2082373.62,74917.37562,3.307810494,0.889099764,0.326415887,0.373295131,0.132263575,0.168025408,0.050097602,0.18051833,0.400157811,0.369226258
2009,0,1,56-65,0,15801.89826,111121.1155,4094.225989,3.859556923,1.062355136,0.449890657,0.368362777,0.12281513,0.058931435,0.076647976,0.094652479,0.258171833,0.570527712
2009,0,1,56-65,1,63213.7904,360688.3323,18875.25716,3.349029359,0.876876321,0.423814595,0.342925974,0.058117061,0.17514237,0.076092906,0.273619,0.109018178,0.541269916
2009,0,1,66+,0,13134.723,95996.10879,5459.034848,1.669880936,1.526605665,0.540855733,0.182589202,0.147599274,0.128955792,0.066342474,0.043105448,0.421046815,0.469505263
2009,0,1,66+,1,42763.01488,162915.2946,16340.69528,2.61696422,1.636520113,0.388256329,0.28330602,0.040995896,0.287441754,0.13176232,0.188894761,0.18768101,0.491661909
2009,1,0,0-17,0,179280.5305,1846072.795,54978.27115,3.260934306,1.869269579,0.183423214,0.294597665,0.378222357,0.143756765,0.018520366,0.054087026,0.636015706,0.291376902
2009,1,0,0-17,1,244484.6433,1509701.031,70106.76548,3.48731883,2.091226004,0.273155201,0.320700925,0.289936162,0.116207713,0.039767519,0.09585149,0.668495217,0.195885774
2009,1,0,18-30,0,192698.7407,2729879.638,52307.75394,3.683942173,0.921174852,0.112205505,0.094107755,0.71650234,0.0771844,0.008098373,0.017567255,0.879066522,0.095267851
2009,1,0,18-30,1,380556.6325,3844965.331,104200.7125,3.652150003,0.998505411,0.218447586,0.162427182,0.542309523,0.076815708,0.025084366,0.052719366,0.793445105,0.128751163
